Position,Rating,Review Title,Role,Pros,Cons
153,3,Highs and Lows,Anonymous employee,1. Good vacation policy: Lots of vacation days from the start and good policy when it comes to leaves and sick days. 2. Compensation: Compensation is not crazy but it is also not bad compared to the Montreal average. 3. Internal Mobility: There are plenty of opportunities for internal mobility. You can move around. 4. Offices: The office is space at St Laurent is very well equipped and easy to access from Metro or Bus.,"1. Transparency: The company is not good at communicating the status of senior leadership strategies or its financial outlook. 2. Turnover: Many teams get laid off with almost no notice. 3. Management: At times it can feel highly corporate, even more than some banks and telecom companies. Management and HR align to treat you as a number rather than to develop your career potential."
154,4,"(Mobile) Good projects and people, low salaries",Lead programmer,- Fun and ambitious Projects to work in (mobile) - Plenty of challenges and opportunities to learn and grow - a lot of ownership - great People and friendly environment,"- Low salaries - Lack of resources can put a lot of pressure on the team - Ubisoft HQ doesn't care much about mobile, but at the same time the studio depends on them and their decisions - Office poorly communicated and mandatory 3 days per week at the office"
155,4,Almost the Perfect Workplace- If Only Management Could Get it Together,Game designer,Everyone at the studio is incredibly warm and friendly and the benefits package is great (for now). Most managers are content to let you do your own thing while you're working as long as you get your tasks done. All of my people managers did their able best to support me in my career aspirations and assign me with tasks that they knew I would both enjoy and excel at.,"Upper management and the studio leadership is a mess at best and hostile at worst. HR is unnecessarily bureaucratic and makes advancing in seniority (and pay) nearly impossible. Their lack of flexibility leads to a seemingly arbitrary system of seniority, where employees of nearly 10 years are at the same level as those who have only been around for 4 despite having vastly disparate amounts of experience. Upper management have not only silently cut benefits (and staff) without informing employees ahead of time, but they then refuse to be transparent when asked to clarify their reasons for these decisions and if they've considered the consequences that will impact the teams as a result. Pay is also uncomfortably low to live in Toronto, especially considering the skyrocketing cost of rent and groceries. It doesn't seem like this issue is going to be fixed anytime soon- if you plan on working here, consider looking for a roommate."
156,3,"Interesting and new work, Work life balance, Low compensation",Junior programmer,"You will get the oppertunity to work with global studios and experienced/veteran developers Open door policy - you can contact any one even if person has 25 yoe and you are just an intern Cutting edge system Free ubisoft games Work life balance is pretty good, sometime you need to compromise when some deadline approaches but manageable,",Low opportunity to grow Compensation/hikes is very low
157,4,Nice friendly place to work,Senior online programmer,"Good work-life balance, great collegues and friendly vibe.",Office not well located for public transporation
158,3,Good work life balance but not a lot of benefits,Level designer,Good work life balance Cool team and ambiance,"Salary and top management direction are really bad, games are getting harder and harder to ma"
159,2,Not a good place for people that are serious with their careers,Web developer,- diverse environment - Lots vacation days,- office bureaucracy - extremely inefficient - jobs being too comfortable and secure resulting in many people don't give a damn at work. - low pay
160,2,a normal job,Quality control,you can learn the base info when it comes to game development,"bad salary, you can't improve in career"
161,5,Great Work Place,Game tester,Best Work life Balance Best Pay Best Food,No cons Mobile Games Exposure New Development branch in Pune
162,3,"Dwindling benefits, forced RTO with no regards to the impact on employees",Anonymous employee,"Great coworkers. Talented and generally very kind and welcoming. I can't speak for the entirety of the company, but I always felt comfortable in my team. Overall still good benefits. 5 weeks of paid vacation per year for all employees is nothing to scoff at.","RTO enforced company-wide by upper management. All employees will be required to comply to a new 3 days / week policy (with two fixed days and a third day that can be chosen by the employee). This includes employees who decided to move or even purchase a home farther from the city, due to previous WFH policy allowing this. Those employees are told to either sell their home to move closer, endure the brutal commutes (2+ hours one way), or simply leave the company. Not a single exception is allowed outside of people in categories protected by law (disabilities & such). This is enforced despite the international collaboration culture that was firmly in place. Many employees who entirely work with people located in other studios will need to endure traffic, expensive parking, and hours of time wasted only to then sit at their desk and join a Microsoft Teams meeting with coworkers overseas from a loud open office environment. Other benefits were cut during this announcement as well. A ""work from anywhere"" policy that allowed you to work up to a few weeks while traveling anywhere in the world was squashed entirely. They are also leaving the door open for adding to the 3/days per week. It is entirely possible for the RTO mandate to get worse in the future (4 days/week or even full in-office). Absolutely nothing positive was offered to employees to counteract the negative impact of the RTO. To top it off, everyone is worried over the company's poor current state. Stock is slumping. Star Wars Outlaws struggled to sell well. XDefiant is dying out. The only thing on the horizon right now is Assassin's Creed Shadows, and it has already been surrounded by controversy (whether justifiably so or not). This is weighing heavily on everyone's minds. Given all of this, it's really difficult to recommend this company to anyone right now."
163,3,Good place to start or end,Artist,The company cares about their employees. They give you flexibility. Everyone is nice.,"Low salary, low benefits, small teams"
164,4,Exciting place,Tools programmer,Exciting Project Cutting edge Tech,Not much growth scope Mismanagement
165,2,"Huge potential, Terrible management",Marketing manager,Interesting games/projects and good teammates,"Terrible management with no accountability pushes people to the brink of burnout, and they wonder why people are struggling."
166,2,Do not recommend,Senior game tester,Salary to pay day to day bills and food,"Everything else. Miscommunications, being payed minimum wage, micro-management"
167,3,a good place to start your Tester journey,Game tester,Beginner friendly training provided nice colleagues nice offices close to the subway station,low salary no full work from home
168,2,Too much politics,Voice designer,"Honestly at the moment there are not many reason, salaries are very Low-Mid level compared to the market and not flexible work.",Too much politics involved in game production
169,3,"Comfortable enough to start, studio & corporate management need serious improvements.",Tools support specialist,"- Great coworkers. Those that stay are talented, excited to work, happy to help, and want what's best for the games & players. - Decent benefits. - A good place to start your game development career. - A lot of opportunity to learn with some room to grow. Ubisoft (Toronto) was a very easy company to work for. I loved my coworkers, the projects always had great learning opportunities, and was mostly remote until RTO was mandated back. Over the years I got to work with incredibly talented folks and had ample opportunities to develop my skills and learn new technologies.","- Studio management and corporate management are hilariously out of touch and archaic practices of reviewing games are preventing Ubisoft from succeeding. - Pay is middling, raises are small, Toronto is expensive. - The upper levels of management will do Q&A's and pretend to listen, but don't actually care. - Silently cutting benefits, RTO, and laying people off without notice, while dancing around questions as to why this is happening. - The tech, while mostly good to work with, suffers from being almost entirely internal, meaning that it's harder to transfer your skills outside of Ubisoft as companies want you to work with publicly available tools. Management at the upper levels needs a massive shakeup. People fail upwards commonly, developers are not listened to at all, good games get cancelled, the review process needs a massive overhaul, benefits are being cut, questions aren't answered, people are being laid off, and games are consistently underperforming and upper management genuinely can't understand why. Ubisoft could be a game development powerhouse but creativity is throttled in the name of making more money."
170,4,Review,Engine programmer,"Advanced technologies, good company culture",Some communication issues on management's side
171,3,A place to learn about the industry.,Senior designer,"Benefits, health care, discounts, Mobile grant.",Depends on a larger company that can mandate stuff that hinders work/life balance.
172,3,Ok,Test engineer,Nice work environment Fun people,Low salary Not e enough oportunities
173,2,Game design,Game designer,- good colleague - interesting license,- Low payment - corporate culture
174,3,Ubisoft,Programmer,Great team. It's a pleasure to work with such people.,The gaming industry has been going through some tough times lately.
175,2,"It was great, till it wasnt",Senior learning and development specialist,"Generally a very fun company to work for, they have good parties and if you work in the office there's loads of free food. The L&D team is great, it genuinely sad to see such talent wasted and being turned into vendor managers because leadership sacked all the employees.",The leadership are violently out of touch with their customers and are clearly steering the company towards automated solutions rather than the human contact people actually want.
176,2,Good for new people,Qa,Good for starting in the gameing industry,Bad of you want to grow
177,3,Place is overrated,Web developer,"- Decent non-monetary benefits including work gym, company sports, and leisure activities - Comfortable environment - Most people's positions in the company are very comfortable. Even when underperforming",- Pay has always and still is below industry pay - The company is really underperforming at the moment - The company is run very inefficiently. They could probably release 30% of the workforce and be more performant
178,2,"nice place, could be a lot better",It manager,"People, you can find extraordinary colleagues here",The way hq management make decisions
179,4,"Nice company to work for, good vibe, but sometimes upper management says one thing and do the other.",Online programmer,Good work-life balance and nice collegues,It is possible to work on a project for some time and then it gets cancelled
180,3,Not good,Programmer,Base salary to live in very expensive city.,High pressure by leaders and team managers.
181,2,Fast-sinking ship,Marketing,- Used to be a fun place to work. The only fun part now is being surrounded by a few smart people. - Was fully remote but recently mandated RTO 2 days per week to subpar SF office in inconvenient SOMA location.,"- Nothing innovative about any of their products, consumers are increasingly bored and uninterested. Reliance on nostalgia seems to be the company's only strategy - Never-ending 3+ year re-org shifted all power and decision-making to France - Working Paris hours, regular 6 am and 7 am meetings - Hiring freeze for almost 3 years and counting - No raises for 2+ years for most people - Regular layoffs in the SF office - Minimal female leadership and very few (if any) influential female decision-makers - Limited upward mobility unless you are French and/or a White man - Mandated RTO and have to reserve a desk each time as they removed permanent desks - Major lip service and zero commitment from execs in regard to making any actual systemic changes (e.g., sexual harassment, increasing BIPOC and/or female leadership) - Unrealistic deadlines and top down executional demands - Sketchy, unwritten stock allocations (""some people get it, some people don't"")"
182,4,A fair employer,Associate producer,- working with really talented colleagues - great work environment - Opportunity to work on the Biggest licence of the industry - Fair work life balance,- Slow decision making at the Group level - Shy to take risks in a competitive environment
183,4,Great place to work,Junior gameplay programmer,"Nice environment, emphasis on learning and developing your skills.",Salary under the market's median.
184,4,10/10 Best company ever,Animator,*Good salary *Good enviroment *Games are lovely *,*The toilet is always full of s
185,4,"Terrible pay, good work culture",Junior game tester,Really chill work culture and good perks.,Terrible pay with bare minimum increments.
186,3,Great place,Anonymous employee,Friendly environment and good learning opportunity.,Less pay and favoritism seen.
187,5,Recommand,Tester,Young environment. Big team. Weekly fruits.,Only determined contract during my working period.
188,3,Place to stay for a while and then move on,Lead game designer,Good people Good project Flexible work situation,Old way of thinking No accountability Nepotism
189,3,Job for a summer,Game tester,"Get hands-on experience with games before release, contributing directly to their quality.","Testing roles focus on finding and reporting bugs, leaving little room for creative input into the game design."
190,3,It's not bad but not great,Artist,work life balance is one of the best,Salary is under indsutry average by 30%
191,5,How I worked there,Software test engineer,"Very friendly environment, management cares about employees. Amazing HR.",I haven�t found any of them
192,5,Nice,Gameplay programmer,Six weeks vacation and clinic and the office,A lot of talented people left the company.
193,4,Good people and need to improve,Anonymous employee,Ubisoft has good people that does what it needs to be done and go beyond. Multiple teams to interact and possibilities of career path internally. Good perks. Great if you are interest in gaming industry. Invest in top of the line in technologies as to push it.,"First acknowledge that for gaming industry has been a difficult few years, but for Ubisoft even more. Ubisoft is not great on direction or management. The repercussions of decisions affects employees and they try to do their best, but you can't do your best when you don't know well your employees or take their advices. Not the best employer for salary wise."
194,4,Ubisoft,Manager,good work life balance good company culture,compensation is not competitive for this industry
195,1,Sad payment for a senior,Senior game tester,"Fun collegues to work with, sometimes feels like a family","Diversity & Inclusion this is what is all about, skill doesn't matter"
196,3,A nice place with poor management,Anonymous employee,Plenty of time and opportunities to learn,Upper management lacks common sense
197,4,"A lot of fun, not a lot of purpose",Marketing manager,Loved the team and how much fun everyone had every day,Professional growth was very slow and they let people who are incompetent stay in power and make decisions. The mindset of management was that our jobs weren't serious
198,4,Good work-life balance,Senior level designer,"Wonderful creative and skilled people in the company. No crunch, hybrid work and good amount of holidays allow for a fair work-life balance. Chance to work on some fantastic IP's.",Salary was fairly low compared to high living costs of Annecy. Overly bureaucratic process with many Directors sometimes leads to conflicting direction and creative compromise.
199,4,Review,Online programmer,"Nice people, good working environment",New games are not that attractive comparing to the past
200,1,Ubisoft,Quality engineer,Good place to work for beginners till 6 months of experience,Prioritise quantity over quality employees. Worst salary payer in market
201,5,Recommend if you have good source of other income,Game tester,Works life balance is good,Recommend for work life balance
202,5,Good job,Associate producer,Great people with good heads,Difficult to navigate political landscape
203,5,Best job I ever had,Graphic design team lead,"Gret place great benefits, love it",Not very high salaries but it compensate with all the benefits
204,1,Stay far away unless you have 0 work experience,Ui artist,Easy way to start your career,"Paychecks, middle management, projects, meetings..."
205,5,Good,Software engineer,Good Good Good Good Good,Ubisoft was the good env to develop a AAA game
206,2,"After the first year of working here, burnout comes after. be warned",3d artist,You get to work with endless assassins creed copy pasted games,People here all thinks highly of themselves and belittle newcomers. Art leads don't even know how to sculpt! HR are also blind and deaf. Company has no sense of direction.
207,3,-,Production manager,Great culture and studio perks,Slow progression and very homogenous
208,4,Good company to work with,Intermediate qa programmer,"Good management, nice work life balance",Need to pay a part for insurance and it doesn�t cover even the basics
209,3,Decent,Game tester,Gets you started in the QA career,"Low salary for the amount of work you have to do. Too many disrespectful people while I was there, and HR didn't do anything."
210,4,Great team,Sales ops,Working with the people at Ubisoft was amazing. All great people.,Base salary was low and didn't increase much over the years.
211,2,Not the best not the worst,Production manager,"Stable, good place to build a network",Pay is below average for the industry
212,4,Good Company with Bad management,Qa senior tester,"Good benefits, nice people, awsome investments","Bad management, arguing over decisions too much, does not listen too much to employees"
213,4,Nice place where to start your carrer,3d environment artist,"good people to work with, nice environment and good benefits",honestly nothing to complain at the moment.
214,3,Decent Studio,Game designer,Ubisoft has good work life balance and relatively good job security.,The salary is atrociously low. Most modern Ubisoft titles are mediocre at best.
215,4,"3.6 not great, not terible",Programmer,Fun environment and nice colleagues,Never a clear studio direction
216,5,Amazing Gaming Company in Pune,It director,Great Work Culture. Fun to work.,Nothing as such. All good
217,4,"Cool, laid-back place to work with decent compensation",Software developer,Great work-life balance and coworkers,Might hit a learning plateau sooner than you'd hope
218,5,technical artist,Technical artist,"inclusive, diversity, creative, fair, care",It would be nice that salary could be competitive with the market
219,4,Great company to work at,Technical lead,"- hybrid work with flexible schedule and most of my team is on-premise - Friday afternoons off during summer at our Canadian studios - Large range of interesting work (hardware programming, web services, r&d, etc)","- pay is not always competitive with market - Lots of hierarchy levels, be prepared for lost messages and slowdowns caused by crosstalk and Too Many levels of managers with no understanding of the technical aspects of the work"
220,4,"Good avantage, but too much management",Cloud developer,"Good avantages, Good salary Flexible life/work",Too much management that make decision making long and you repeat the same task and discuss again and again.
221,5,Was good while it lasted,Compliance specialist,Big team of same-minded people striving to push gaming industry forward.,"Corporative atributes: slow pacing, deep specification of roles, long chains of communication."
222,5,Data science altern,Intern data scientist,Good team Culture and offices,Large Teams migh be a little difficut to integrate
223,5,It's just fine,Programmer,A lot of projects and job families; Experienced cooperative colleagues;,Hard to grow professionally; Weird process of performance review;
224,4,Good entry level job,Junior game tester,Friendly environment Stable job Flexible working schedule,It might be a little stressfull sometimes
225,4,Great place to work,Associate producer,Great place to work with lots of benefits. Good work/life balance.,Nothing to note at this time.
226,3,Game tester pay,Game tester,Good for beginners getting into it,You are a bit overworked
227,3,Decent,Junior level designer,"Free Ubisoft Games, Cake day for birthdays celebrants every month, monthly event party, a lot of trainings for juniors","Long Hours, Long hours, the location of the studio, lot of overtime for crunch work(OT without pay) ."
228,5,Amazing Culture,Senior data scientist,- good team - good work time hours - Amazing Manager,- Nothing as of now
229,2,artist,Artist,"game franchise, brand, power of UBI","feel like a number, you are at a sweet shop"
230,4,Good workplace,Team lead programmer,"Nice and innovative technologies, with interesting people",Good games don�t get published
231,3,Great company but the company is going down,Product manager,"Nice coworkers, cool office steps aways from the Vincennes forest, many events and activities, gym in the office","the company is male dominated while HR don't really care about gender equal, the top management is kind of outdated, company is going down, salary lower than the market"
232,5,Job related review,Ux/ui senior designer,"Working with this team has been an incredible experience. All my colleagues were highly skilled and talented on every project I've worked on, consistently delivering exceptional results. The collaborative environment fostered creativity and innovation, making it a pleasure to contribute to various initiatives. Everyone brought their A-game, and the diverse range of expertise within the team meant we could tackle any challenge head-on.","Working with this team has had its ups and downs. On the positive side, all my colleagues were highly skilled and talented on every project I've worked on. However, the company has significant issues that overshadow these positives. Firstly, there is always a problem with growth inside the company. HR frequently promises career advancement and growth opportunities after a specific period, which employees are led to believe. Unfortunately, these promises are rarely delivered. Despite these assurances, I received only a 2% raise, which did not reflect the inflation rate in my country, let alone my contributions and performance. Moreover, after successfully launching the project I was involved in, I expected to be assigned to a new project. Instead, I was informed there was no room for me on any other project, which was incredibly disappointing and left me feeling undervalued and uncertain about my future with the company. Additionally, the communication overload within the team was overwhelming, often hindering productivity rather than enhancing it. The resource allocation was uneven, leading to frustration and inefficiency. The decision-making process was also slow, as achieving consensus among so many skilled professionals was challenging and time-consuming. Overall, while the team itself is fantastic, the company's broken promises regarding growth and the lack of proper project allocation make it difficult to recommend this workplace."
233,4,Work life balance is good but compensation is not good enough.,Senior game tester,Friendly work life balance. Hybrid Work module. Good facility provided to employees. Team coordination is good.,Less compensation as per the experience. Less bonus payout. Favouritism.
234,5,Very good company,Junior game tester,Very free enviroment to do work,Less salary less leaves there
235,3,Was ok,Game tester,No experience required for this position,the salary was too low for me
236,4,Great place for young people to grow,Tools programmer,Encourage innovative ideas Everyone is willing to help Work life balance,Hard to climb up the career ladder
237,5,Career Kick-start,Junior community manager,Relaxed dress-code making it such a friendly place to work at. A gamer's heaven as you get to know the industry's ins-and-outs.,Production deadlines can be a bit unrealistic.
238,5,Great place to work,Marketing director,"Very open-minded people, friendly environment","Slow decisions making process, all decisions are made by headquarter"
239,1,Avoid like the plague,Gameplay programmer,"Having an income is better than being unemployed or starving to death, so if this is your only option hold your nose and take it (it's not your only option, you deserve better).","They will spy on your social media usage without telling you they are doing this and fire you on the spot instantaneously for expressing the wrong political opinion. Yes, even if you use an alias -- they want to police their employees for thoughtcrime that much. The ""wrong"" political opinion is ANYTHING that deviates SLIGHTLY From absolute wokism. They are quite literally the worst company I have ever worked at. If you are a straight white male, avoid as you WILL be discriminated against."
240,3,Good WLB,Technical game designer,- good WLB - sometimes you get to work on big titles like AC - Respect and Inclusiveness,"- Salary is low, barely survive - Almost no career advancement unless you push for it very hard - Leads lack of management skills as well as working skills - Politics and glass ceilings if you don't play with the right person."
241,4,Nice workplace - bad management,Italian localization specialist,"Amazing people. Chill and friendly, creative environment",Bad higher management decision. Very low salary.
242,5,Work and Life balance is Excellent!,3d animator,"The work culture, life balance, and ambience at the studio is very friendly","The project becomes a little repetitive, missing some creativity"
243,3,Company Review,Qc tester,- friendly People and good working vibe,- very Low salary - no career opportunities
244,2,"Working at a Ubisoft, a AAA company and living in poverty.",Anonymous employee,Coworkers are nice and supportive.,"Salary is criminal and exploitive. Most coworkers are living paycheck to paycheck / in poverty, myself included. Ubisoft should be embarrassed that they can't pay employees a liveable salary considering today's high cost of living in SF and NC. Take your talents elsewhere and avoid this place at all cost. Work culture, benefits, and office amenities are non-existent and everyone thinks the mandatory RTO sucks."
245,3,Ok,Anonymous employee,Wfh / in office balance Great culture,Low pay Too much Office politics
246,5,Good company for fresher in testing,Junior game tester,Good company for fresher in testing Best work life balance,Salary is low compared to other companies in testing.
247,3,Faulty Management,Software engineer,Cool people Nice community The workloads are not that big sometimes,"No way to advance in the company Management always throws the blame Management does not want to solve issues in the department, making more that half the team to leave in less than a year"
248,3,Once Great. A Fall From Grace.,Manager,Camaraderie amongst peers. Fun industry.,Out of touch ego driven leadership that doesn�t listen and needs to go. Slowly taking away perks. Continued layoffs to meet company financial goal objectives. Poor decision making. Games that aren�t performing well. Flexibility that was is no longer. Male dominated decision making and empowerment. Stagnate wages. Low opportunity for growth. Resources are being taken away and people are doing more with less.
249,4,/,Marketing asset coordinator,"Good work/Life balance, good atmosphere",No visibility of career and salary development. No recognition of junior staff
250,5,Good company,Game developer,Really enjoyed working with them,Sometimes teams aren't working as hard
251,3,Just to start career in Gaming Industry,Qc lead,"Good to start your career. A couple of good people are there who can guide you very well. Gets all Ubisoft Games for free on day one of release just for the PC platform. Good infrastructure, Knowledgeable IT team & Admin team.","A couple of HR's are worse. Some new Gen joiners behave like still going to college & don't adapt to the corporate work style due to which old managers need to suffer as HR now changed policies according to this new Gen people mindset. There is no one to care about the manager's mental health but just about the new Gen public. No respect for loyalty as they have an unwritten quote that ""Everyone is replaceable at any time."" they won't care about your career, impact on mental health anything."
252,2,Place of big contrasts,Junior game tester,Opportunity to work on extraordinary projects with passionate and talented people. Very solid work/life balance. Good workplace culture. Opportunities to grow. If you get lucky with a project life becomes a dream.,"But if you get unlucky though... Your experience massively depends on the project you work on. While some of them have amazing teams, interesting work, etc. other had none of the pros described above. I can't describe what incredible highs and utterly depressing lows I had depending on a project. The degree to which each team cultivated certain culture is comical. Some are friendly and family-like, others are extremely competitive and toxic, third are just apathetic. Amount of work also differs greatly and can be 2-5 times bigger or smaller without an exaggeration. Aaaaand... No matter the project compensation is completely unsatisfactory."
253,5,Good work life balance,Technical director,Good work environment and excellent co-workers.,Recent layoffs and departure of key personnel has affected the morale. Hybrid work model still needs to be refined.
254,4,Great environment but lack of resources,M365 tech lead,Great technological environment. Interesting projects and initiatives. Great people.,Lack of organization. No clear vision at management level. Lot of silos. Not real possibilities to evolve as everything is constrained by budgets no matter your performance.
255,4,Good workplace,Customer relationship manager,Everyone who works here has a passion for games Fun and creative team,Management team Low salaries compared to the market
256,4,Great place to work,Concept artist,"Great place to work, friendly enviroment. Great culture.",the salary could be better.
257,4,"Ubisoft is great, if you're not scared of monotony",Game designer,"Working at Ubi has a lot of perks, you have access to a medical clinic at all times alongside a daycare. You also have a gym and can participate into the biggest parties you'll see in the industry.","However, the work you do can feel a bit monotonous and you might question a lot about the how's and why's of your work. You can have access to a lot of resources which makes it a very good place to learn a grow as a professional."
258,3,Good environment underwhelming employee care,Gameplay programmer,Good colleagues and chill atmosphere,"Very low salary, ubisoft formula projects which are shunned by players, employer does not care if you stay or leave, seems like they prefer if you leave on your own not to do layoffs"
259,3,A compromised safety,Lead game designer,Employment safety (more than the average industry) AAA ambitions but...,"AAA by the book, lack of risks, late on trends Terrible high management, lack of vision, act on a whim Terrible pay (below any standards)"
260,3,adcfvb,Junior qa tester,best company to work in pune,less payment offered to engineers
261,4,Good people,Designer,- People are passionate and great to be around,- leadership is confused about what they want
262,3,One bad thing outdo all good things about the company,Data analyst,Good work life balance Nice work culture Good growth opportunities in Gaming Industry as well as IT,Very bad pay scale Bad Management decisions Converting into It conglomerate
263,4,Good learning and development culture with excellent growth opportunities,Associate qa lead,Good learning experience. Lot of opportunities to show talent and grow in the organization.,Less international mobility. Pay is sufficient for a single person but not sufficient as a sole family earner.
264,2,Good company,Game tester,Good company for people who love gaming and want to make it as profession,Very slow carrier growth and less opportunities
265,4,Meh,Manual qa tester,The people working with you are some of the best i ever met. A lot of them are still my friends to this day.,The salaries were not reflective of the work performed
266,5,Ubi is great. Just find the right boss and project,Dfir analyst,"Working with top of the line people is awesome. Great workplace, depends on your boss Lots of training available Nice events.","Your environment really depends on your boss, ubi is great in general, just a bit cheap on salary and such."
267,2,Tools Support Specialist in Ubisoft Annecy not the best opportunity,Tools support specialist,"- Hybrid work, - Chance for mobility - Flex office hours","- Salaries, the compensation in relation to tasks and a very expensive cost of life on this location(Annecy) makes it borderline for a Tools specialist. (lowest compensation among other French Ubi studios). - Outdated tools (not always the case as it varies from project to project, studio to studio) and old development practices which result in lengthy production times. - Management seems to be disconnected for the most part, doesn't seem to listen to their employees feedback and a lot of micromanagement which doesn't help. - They prefer to see skilled people leave and replace them than attempting to find solutions which is not reassuring. - Annecy, beautiful city BUT overcrowded for its size, the 3rd most expensive in France, excessive rents for old non maintained apartments, very low availability, everything in general is more expensive due to being touristic and close to Geneva which makes the quality of life problematic. - The office, overcrowded small offices, it feels like we are on top of each other."
268,4,"Decent company, good memories",Etl developer,Very nice co-workers Support work environment Inclusive culture A lot of learning resource,"Low salary, it was better in my last 6 months, but still lower than the average market Compared to the learning resource, the task wasn't so challenging."
269,4,Potatoed,Project manager,Potatoes are free for everyone,No apples at lunch break
270,4,Pretty good,Senior gameplay animator,"Multiple titles are going on and constantly released, which should be more recognized. If you know how to manage, it's quite enjoyable without hustling job-hunting across the cities/countries even","It depends on the project, but some projects are tougher than others"
271,3,"Good if you are getting started in QC, salaries are low to be honest.",Jr. game tester,"Good culture, no rush in timeline. and many more","Salary, no transport facility, food quality average and below, no profit sharing for titles which got good results in sales."
272,5,Its okay,Test engineer,Flexible Program and not very stressfull,Sometimes a bit too repetitive
273,3,Ok,Devops sysadmin,"Revenue Generation: Companies have the potential to generate substantial revenue, which can lead to profitability and growth. This revenue can be reinvested in the business or distributed to shareholders. Job Creation: Companies create employment opportunities, contributing to economic growth and providing livelihoods for individuals and families. Innovation: Companies often drive innovation by developing new products, services, and technologies that can improve people's lives and meet market demands. Economies of Scale: Larger companies can benefit from economies of scale, allowing them to produce goods or services more efficiently and at a lower cost. Access to Capital: Companies can raise capital by selling shares, issuing bonds, or seeking loans, which can support expansion and investment in research and development.","Financial Risk: Companies face financial risks, including the potential for losses, bankruptcy, and financial instability. Poor financial decisions can have severe consequences. Regulatory Compliance: Companies must adhere to a variety of regulations and laws, which can be complex and costly to navigate. Non-compliance can result in fines or legal issues. Competition: Companies operate in competitive markets, and competition can be fierce, leading to pricing pressures and the need to continually innovate to stay ahead. Reputation Risk: A negative event or scandal can harm a company's reputation, resulting in a loss of trust from customers, investors, and the public. Environmental and Social Responsibility: Companies may be held responsible for their environmental and social impacts, and failing to address these concerns can lead to reputational damage and legal issues."
274,5,Good,Software developer,Good working enviroment Helpfull managers,Overtime work from time to time
275,5,VFX artist,Vfx artist,Great environment to work in.,There are no cons .
276,4,"Good work, but less pay",Qa engineer,Exposure Fun Supportive environment Work-life balance,No salary hike Less promotions More competition
277,3,"It�s a good company, but with big management problems",Anonymous employee,"- Creative environment for Ubisoft standards, working on Nintendo IPs and cool Projects - Nice atmosphere with colleagues and peers - Until you stay within your role and don�t ask for something more, you will be fine","- the higher up you interface with managers, the more toxic the people. - Mafia vibe where everything you ask to the Company marks you as a betrayer and then you get mobbed and not put on Projects - Classism and very few growth perspectives - Low-Average salaries for italian standard. extremely Low for industry standard"
278,5,Decent working environment,Quality assurance,Friendly work environment with a bunch of benefits. Projects can be engaging and interesting,Can be a bit taxing and confusing at first.
279,3,Great teamates,Lead artist,"Stable, great teammates, flexible schedule","Lower pay , bonus structure, mandatory days in studio"
280,4,-,Frontend developer,Nice Culture World known games,Hard to get a raise Below average salaries Rigid structure to change the field/project
281,5,"Good environment, depending where you land within Ubisoft",Programming team lead,- good benefits - work with passionate People - good and innovative topics - salary can be competitive depending where you land,"- entry level salary not competitive - budget restriction and hiring freeze for a few years, resulting in teams with not enough resources to properly work depending where you land - lot of politics"
282,5,Great Start,3d artist,- Trained in the highest standard in the gaming industry - able to take part in producing Triple AAA quality works - Medicare benefits - Stable position & market - great work-and-play culture,- Fairly Low compensation - Transport & distance
283,4,Best company culture ever,Anonymous employee,- flexibility for working hours during the day (u can choose your hours between 6 to 22). - Huge attention on work-life balance - Friendly environment,- not flexible for work from anywhere policy (only 20 days per year) - salaries not so high compared to industry standard
284,3,Good,Data analyst,Work life balance is good,Salary not upto marker standards
285,4,ok,Quality assurance,it is ok for first job,minimum wage for 40 hours/week
286,3,QC Game Tester at Ubisoft,Qc game tester,Some of the colleagues are really fun to work with,A bunch of the colleagues are drama queens to work with
287,4,"Lots of good, one major minus",Anonymous employee,"gym, issurance are great, environment is also great, coffee is free all the time. The culture is great also for inclusivity.","Big corpo setting, really hard to feel I've got any influence on any important decision and all the greedy behavior displayed from the CEO and top dogs of this place."
288,5,Positive review,Game tester,Best work environment. Amazing team,Nothing as such. No problem
289,4,Good company,Ux designer,Do not crunch employees during last stage of project development,Too big to navigate easily
290,3,Stagnant Upper Management,Anonymous employee,"Fun culture, work life balance, interesting products","Projects are mired in politics, leadership does not communicate and creates a lot of internal competition"
291,2,"Underpaid, could be a lot better",Game balancing specialist,-great team -Decent environment -you get to learn a lot about gaming -you get to be in touch with other People in production,"-a lot of work, usually you get to do more than you should -underpaid for what is asked of you on a daily basis and compared to industry standards, but this is mostly due to the location of the studio being Bucharest -Bad Management"
292,3,Great Work Low Salary,Junior game tester,Very Good if interested in the gaming industry.,Low salary should be more
293,1,Forced people back to the office,3d artist,"Excellent benefits, salary is ok.","Forced people back to the office after saying remote was a thing ... Quite toxic environment, unpaid OT."
294,3,Contact issues,Level designer,Good place to work with some great people.,"The contract had an aggressive non-compete clause. Too many people working on massive projects that have no clear objective, resulting in bland, unexciting, formulaic games that require bloated budgets/development time."
